company_name,job_title,detail_url,employment_type,recruitment_count,location,job_field,description,career_level,education_level,skills,responsibilities,created_at
㈜다우기술,㈜다우기술 경력ㆍ신입 대규모 인재 영입,https://www.jobkorea.co.kr/Recruit/GI_Read/46778313?rPageCode=SL&logpath=21&sn=6&sc=612,정규직인턴,,"경기도 성남시 수정구,서울시 마포구,영등포구,양천구지도",홈페이지 지원,,미리보기,홈페이지 지원2일 전 등록~04/21(월),"API, SQL, Unix, CDC, DBMS, DL, UI, UX, WMS, RAG",,2025-04-13 15:50:38
코오롱인더스트리㈜,2025년 코오롱인더스트리 경력사원 상반기 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46769814?rPageCode=SL&logpath=21&sn=6&sc=612,정규직,,"서울시 강서구,울산 남구,동구,중구,북구,울주군,충남 천안시 동남구,천안시 서북구,서산시,경북 구미시,김천시지도",홈페이지 지원,,미리보기,홈페이지 지원3일 전 등록~04/22(화),"AWS, Azure, GCP, GraphQL, Node.js, Python, CAD, Excel, PowerPoint, SAP, 영어, 영어회화, 2종보통운전면허, 대기환경기사 자격, 산업안전산업기사 자격, 산업위생관리기사 자격, 수질환경기사 자격, 위험물산업기사 자격, Restful API",,2025-04-13 15:50:46
㈜KT DS,[kt ds] 2025년 부문별 경력사원 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46772231?rPageCode=SL&logpath=21&sn=6&sc=612,정규직수습3개월,,서울시 서초구지도,홈페이지 지원,,미리보기,홈페이지 지원3일 전 등록~04/18(금),"Apache, AWS, JAVA, Jira, Kafka, Oracle, Python, RDBMS, React, Redis, Spring Boot, SVN, Tibero, Tomcat, Vue.js, Linux, Confluence, DBMS, GitLab, RAG",,2025-04-13 15:50:54
㈜아트매틱컴퍼니,[아트매틱 컴퍼니] 음원 서비스 웹(APP) 기획/개발 PM채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46768464?rPageCode=SL&logpath=21&sn=6&sc=611,"계약직근무기간 6개월
                                정규직 전환가능",1.0,"서울시 성동구,동대문구,광진구,중구,용산구,강남구,서초구,송파구,동작구,영등포구지도","웹/APP 기획, 개발 PM",,미리보기,즉시지원4일 전 등록~05/09(금),"Jira, Confluence, Figma, UI",,2025-04-13 15:51:02
에이치엠케이홀딩스㈜,HMK홀딩스㈜ 부문별 대규모 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46775000?rPageCode=SL&logpath=21&sn=6&sc=611,정규직프리랜서,,서울시 강남구지도,"온라인 마케팅 본부_본부장,온라인마케팅팀_팀장,온라인마케팅팀_사원,언론홍보팀_팀장,언론홍보팀_사원,웹기획팀_팀장,웹기획팀_팀원,웹디자인 기획팀_팀장,웹디자인 기획팀_사원,IT 본부_본부장,경공매 솔루션팀_팀장,경공매 솔루션팀_사원,전략기획실_실장,전략기획실_본부장,전략기획실_팀장,전략기획실_사원,CEO/COO,헤드헌터,경영지원본부_본부장,경영지원본부장,재무회게팀_팀장,재무회게팀_사원,속기사_사원,자산운영사_사원",,미리보기,즉시지원2일 전 등록상시채용,"CSS, HTML, Javascript, Figma, Sketch, UI, UX, 더존 프로그램",,2025-04-13 15:51:10
㈜제이투디비,JAVA 개발 및 SPRING 프레임워크 경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46788631?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습3개월,1.0,경기도 성남시 수정구지도,JAVA 개발자,,미리보기,즉시지원20시간 전 등록~06/11(수),"JAVA, MariaDB, OracleDB, PostgreSQL, Spring, Spring Boot, Linux, 전자정부표준프레임워크",,2025-04-13 15:51:17
한국타이어앤테크놀로지(주),IT 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46786740?rPageCode=SL&logpath=21&sn=6&sc=612,정규직,,경기도 성남시 분당구지도,홈페이지 지원,,미리보기,홈페이지 지원1일 전 등록~04/30(수),"Azure, JAVA, Linux, SAP, GUI, UX, WMS",,2025-04-13 15:51:24
㈜웹젠,2025 상반기 WEBZEN 채용연계형 인턴 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46778487?rPageCode=SL&logpath=21&sn=6&sc=612,"인턴근무기간 6개월
                                정규직 전환가능",,경기도 성남시 분당구지도,홈페이지 지원,,미리보기,홈페이지 지원2일 전 등록~04/28(월),,,2025-04-13 15:51:33
유니닥스㈜,유니닥스㈜ AI개발자 장애인채용 전형,https://www.jobkorea.co.kr/Recruit/GI_Read/46783529?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습3개월,,서울시 구로구지도,AI개발자,,미리보기,즉시지원2일 전 등록~04/25(금),Python,,2025-04-13 15:51:40
㈜신안정보통신,"응용프로그래머(C, C++,C#) 경력 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/46782064?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,,서울시 서초구지도,"응용프로그래머(C, C++,C#) 경력",,미리보기,즉시지원2일 전 등록~04/27(일),"C, C#, C++, MFC, MSSQL",,2025-04-13 15:51:48
㈜신지모루,[경력] 전산개발 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46782740?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습6개월,1.0,서울시 마포구지도,전산개발 담당자,,미리보기,즉시지원2일 전 등록~05/11(일),"MSSQL, Oracle, PostgreSQL, Python, React, ERP, WMS, DevExpress, WCS",,2025-04-13 15:51:55
유비벨록스㈜,유비벨록스 2025년도 분야별 인원모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46777146?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습3개월,,서울시 구로구지도,"전산관리,인사행정,데이터엔지니어,백오피스 서버개발,스마트카드 개발",,미리보기,즉시지원2일 전 등록~04/30(수),"Hadoop, JAVA, Kafka, Logstash, MySQL, Oracle, PostgreSQL, Python, RDBMS, Spark, Spring Boot, SQL, Tibero, Linux, Spring Framework, Elasticsearch, Airflow, DBMS, ETL, Nifi",,2025-04-13 15:52:04
㈜커넥트웨이브,[플레이오토] 프론트엔드 개발자 (1년 이상/웨이크업개발팀),https://www.jobkorea.co.kr/Recruit/GI_Read/46783391?rPageCode=SL&logpath=21&sn=6&sc=612,정규직수습3개월,,서울시 구로구지도,프론트엔드 프로그래머,,미리보기,홈페이지 지원2일 전 등록~05/31(토),"API, CSS, Git, HTML5, Javascript, Jira, Node.js, React, Redux, TypeScript, Nest.js, Slack, Restful API",,2025-04-13 15:52:11
인에이블다온소프트,[인에이블다온소프트] 백엔드 개발자 모집(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46781772?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습3개월,,서울시 용산구지도,백엔드 개발자,,미리보기,즉시지원2일 전 등록~06/10(화),"AWS, Kotlin, PostgreSQL, Spring Boot, DevOps",,2025-04-13 15:52:18
㈜엘트라글로벌,리눅스 서버클라이언트 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46777848?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,1.0,"경기도 성남시 중원구,성남시 분당구,성남시 수정구,경기전지역지도",리눅스 서버클라이언트 개발자,,미리보기,즉시지원2일 전 등록~05/10(토),,,2025-04-13 15:52:26
잼코딩서초학원,"[잼코딩] 서초동 코딩학원 영어 코딩강사 모집 (정규직, 계약직, 프리렌서)",https://www.jobkorea.co.kr/Recruit/GI_Read/46775477?rPageCode=SL&logpath=21&sn=6&sc=611,"정규직수습3개월계약직근무기간 6개월
                                정규직 전환가능프리랜서근무기간 6개월
                                정규직 전환가능",,서울시 서초구지도,영어 코딩 교육강의 및 컨텐츠 개발 연구원,,미리보기,즉시지원3일 전 등록상시채용,"C++, Python, Scratch, 알고리즘",,2025-04-13 15:52:35
